BRC Beroepsgroep niv 1;BRC Omschrijving Beroepsgroep Niv 1;BRC Beroepsgroep niv 2;BRC Omschrijving Beroepsgroep Niv 2;BRC Beroepsgroep niv 3;BRC Omschrijving Beroepsgroep Niv 3
1;Pedagogische beroepen;11;Docenten;111;Docenten hoger onderwijs en hoogleraren
1;Pedagogische beroepen;11;Docenten;112;Docenten beroepsgerichte vakken secundair onderwijs
1;Pedagogische beroepen;11;Docenten;113;Docenten algemene vakken secundair onderwijs
1;Pedagogische beroepen;11;Docenten;114;Leerkrachten basisonderwijs
1;Pedagogische beroepen;11;Docenten;115;Onderwijskundigen en overige docenten
1;Pedagogische beroepen;12;Sportinstructeurs;121;Sportinstructeurs
1;Pedagogische beroepen;13;Leidsters kinderopvang en onderwijsassistenten;131;Leidsters kinderopvang en onderwijsassistenten
2;Creatieve en taalkundige beroepen;21;Auteurs en kunstenaars;211;Bibliothecarissen en conservatoren
2;Creatieve en taalkundige beroepen;21;Auteurs en kunstenaars;212;Auteurs en taalkundigen
2;Creatieve en taalkundige beroepen;21;Auteurs en kunstenaars;213;Journalisten
2;Creatieve en taalkundige beroepen;21;Auteurs en kunstenaars;214;Beeldend kunstenaars
2;Creatieve en taalkundige beroepen;21;Auteurs en kunstenaars;215;Uitvoerend kunstenaars
2;Creatieve en taalkundige beroepen;22;Vakspecialisten op artistiek en cultureel gebied;221;Grafisch vormgevers en productontwerpers
2;Creatieve en taalkundige beroepen;22;Vakspecialisten op artistiek en cultureel gebied;222;Fotografen en interieurontwerpers
3;CommerciÃ«le beroepen;31;Adviseurs marketing, public relations en sales;311;Adviseurs marketing, public relations en sales
3;CommerciÃ«le beroepen;32;Vertegenwoordigers en inkopers;321;Vertegenwoordigers en inkopers
3;CommerciÃ«le beroepen;33;Verkopers;331;Winkeliers en teamleiders detailhandel
3;CommerciÃ«le beroepen;33;Verkopers;332;Verkoopmedewerkers detailhandel
3;CommerciÃ«le beroepen;33;Verkopers;333;Kassamedewerkers
3;CommerciÃ«le beroepen;33;Verkopers;334;Callcentermedewerkers outbound en overige verkopers
4;Bedrijfseconomische en administratieve beroepen;41;Specialisten bedrijfsbeheer en administratie;411;Accountants
4;Bedrijfseconomische en administratieve beroepen;41;Specialisten bedrijfsbeheer en administratie;412;Financieel specialisten en economen
4;Bedrijfseconomische en administratieve beroepen;41;Specialisten bedrijfsbeheer en administratie;413;Bedrijfskundigen en organisatieadviseurs
4;Bedrijfseconomische en administratieve beroepen;41;Specialisten bedrijfsbeheer en administratie;414;Beleidsadviseurs
4;Bedrijfseconomische en administratieve beroepen;41;Specialisten bedrijfsbeheer en administratie;415;Specialisten personeels- en loopbaanontwikkeling
4;Bedrijfseconomische en administratieve beroepen;42;Vakspecialisten bedrijfsbeheer en administratie;421;Boekhouders
4;Bedrijfseconomische en administratieve beroepen;42;Vakspecialisten bedrijfsbeheer en administratie;422;Zakelijke dienstverleners
4;Bedrijfseconomische en administratieve beroepen;42;Vakspecialisten bedrijfsbeheer en administratie;423;Directiesecretaresses
4;Bedrijfseconomische en administratieve beroepen;43;Administratief personeel;431;Administratief medewerkers
4;Bedrijfseconomische en administratieve beroepen;43;Administratief personeel;432;Secretaresses
4;Bedrijfseconomische en administratieve beroepen;43;Administratief personeel;433;Receptionisten en telefonisten
4;Bedrijfseconomische en administratieve beroepen;43;Administratief personeel;434;Boekhoudkundig medewerkers
4;Bedrijfseconomische en administratieve beroepen;43;Administratief personeel;435;Transportplanners en logistiek medewerkers
5;Managers;51;Algemeen directeuren;511;Algemeen directeuren
5;Managers;52;Managers op administratief en commercieel gebied;521;Managers zakelijke en administratieve dienstverlening
5;Managers;52;Managers op administratief en commercieel gebied;522;Managers verkoop en marketing
5;Managers;53;Managers productie en gespecialiseerde dienstverlening;531;Managers productie
5;Managers;53;Managers productie en gespecialiseerde dienstverlening;532;Managers logistiek
5;Managers;53;Managers productie en gespecialiseerde dienstverlening;533;Managers ICT
5;Managers;53;Managers productie en gespecialiseerde dienstverlening;534;Managers zorginstellingen
5;Managers;53;Managers productie en gespecialiseerde dienstverlening;535;Managers onderwijs
5;Managers;53;Managers productie en gespecialiseerde dienstverlening;536;Managers gespecialiseerde dienstverlening
5;Managers;54;Managers horeca, detailhandel en overige diensten;541;Managers horeca
5;Managers;54;Managers horeca, detailhandel en overige diensten;542;Managers detail- en groothandel
5;Managers;54;Managers horeca, detailhandel en overige diensten;543;Managers commerciÃ«le en persoonlijke dienstverlening
5;Managers;55;Managers z.n.d.;551;Managers z.n.d.
6;Openbaar bestuur, veiligheid en juridische beroepen;61;Overheidsambtenaren en -bestuurders;611;Overheidsbestuurders
6;Openbaar bestuur, veiligheid en juridische beroepen;61;Overheidsambtenaren en -bestuurders;612;Overheidsambtenaren
6;Openbaar bestuur, veiligheid en juridische beroepen;62;Juristen;621;Juristen
6;Openbaar bestuur, veiligheid en juridische beroepen;63;Beveiligingswerkers;631;Politie-inspecteurs
6;Openbaar bestuur, veiligheid en juridische beroepen;63;Beveiligingswerkers;632;Politie en brandweer
6;Openbaar bestuur, veiligheid en juridische beroepen;63;Beveiligingswerkers;633;Beveiligingspersoneel
6;Openbaar bestuur, veiligheid en juridische beroepen;63;Beveiligingswerkers;634;Militaire beroepen
7;Technische beroepen;71;Ingenieurs en onderzoekers wis-, natuur- en technische wetenschappen;711;Biologen en natuurwetenschappers
7;Technische beroepen;71;Ingenieurs en onderzoekers wis-, natuur- en technische wetenschappen;712;Ingenieurs (geen elektrotechniek)
7;Technische beroepen;71;Ingenieurs en onderzoekers wis-, natuur- en technische wetenschappen;713;Elektrotechnisch ingenieurs
7;Technische beroepen;71;Ingenieurs en onderzoekers wis-, natuur- en technische wetenschappen;714;Architecten
7;Technische beroepen;72;Vakspecialisten natuur en techniek;721;Technici bouwkunde en natuur
7;Technische beroepen;72;Vakspecialisten natuur en techniek;722;Productieleiders industrie en bouw
7;Technische beroepen;72;Vakspecialisten natuur en techniek;723;Procesoperators
7;Technische beroepen;73;Bouwarbeiders;731;Bouwarbeiders ruwbouw
7;Technische beroepen;73;Bouwarbeiders;732;Timmerlieden
7;Technische beroepen;73;Bouwarbeiders;733;Bouwarbeiders afbouw
7;Technische beroepen;73;Bouwarbeiders;734;Loodgieters en pijpfitters
7;Technische beroepen;73;Bouwarbeiders;735;Schilders en metaalspuiters
7;Technische beroepen;74;Metaalarbeiders, machinemonteurs;741;Metaalbewerkers en constructiewerkers
7;Technische beroepen;74;Metaalarbeiders, machinemonteurs;742;Lassers en plaatwerkers
7;Technische beroepen;74;Metaalarbeiders, machinemonteurs;743;Automonteurs
7;Technische beroepen;74;Metaalarbeiders, machinemonteurs;744;Machinemonteurs
7;Technische beroepen;75;Voedselverwerkende beroepen en overige ambachten;751;Slagers
7;Technische beroepen;75;Voedselverwerkende beroepen en overige ambachten;752;Bakkers
7;Technische beroepen;75;Voedselverwerkende beroepen en overige ambachten;753;Productcontroleurs
7;Technische beroepen;75;Voedselverwerkende beroepen en overige ambachten;754;Meubelmakers, kleermakers en stoffeerders
7;Technische beroepen;75;Voedselverwerkende beroepen en overige ambachten;755;Medewerkers drukkerij en kunstnijverheid
7;Technische beroepen;76;Elektriciens en elektronicamonteurs;761;Elektriciens en elektronicamonteurs
7;Technische beroepen;77;Productiemachinebedieners en assemblagemedewerkers;771;Productiemachinebedieners
7;Technische beroepen;77;Productiemachinebedieners en assemblagemedewerkers;772;Assemblagemedewerkers
7;Technische beroepen;78;Hulpkrachten bouw en industrie;781;Hulpkrachten bouw en industrie
8;ICT beroepen;81;Specialisten ICT;811;Software- en applicatieontwikkelaars
8;ICT beroepen;81;Specialisten ICT;812;Databank- en netwerkspecialisten
8;ICT beroepen;82;Vakspecialisten ICT;821;Gebruikersondersteuning ICT
8;ICT beroepen;82;Vakspecialisten ICT;822;Radio- en televisietechnici
9;Agrarische beroepen;91;Tuinders, akkerbouwers en veetelers;911;Land- en bosbouwers
9;Agrarische beroepen;91;Tuinders, akkerbouwers en veetelers;912;Hoveniers, tuinders en kwekers
9;Agrarische beroepen;91;Tuinders, akkerbouwers en veetelers;913;Veetelers
9;Agrarische beroepen;92;Hulpkrachten landbouw;921;Hulpkrachten landbouw
10;Zorg en welzijn beroepen;101;Artsen, therapeuten en gespecialiseerd verpleegkundigen;1011;Artsen
10;Zorg en welzijn beroepen;101;Artsen, therapeuten en gespecialiseerd verpleegkundigen;1012;Gespecialiseerd verpleegkundigen
10;Zorg en welzijn beroepen;101;Artsen, therapeuten en gespecialiseerd verpleegkundigen;1013;Fysiotherapeuten
10;Zorg en welzijn beroepen;102;Specialisten op maatschappelijk gebied;1021;Maatschappelijk werkers
10;Zorg en welzijn beroepen;102;Specialisten op maatschappelijk gebied;1022;Psychologen en sociologen
10;Zorg en welzijn beroepen;103;Vakspecialisten gezondheidszorg;1031;Laboranten
10;Zorg en welzijn beroepen;103;Vakspecialisten gezondheidszorg;1032;Apothekersassistenten
10;Zorg en welzijn beroepen;103;Vakspecialisten gezondheidszorg;1033;Verpleegkundigen (mbo)
10;Zorg en welzijn beroepen;103;Vakspecialisten gezondheidszorg;1034;Medisch praktijkassistenten
10;Zorg en welzijn beroepen;103;Vakspecialisten gezondheidszorg;1035;Medisch vakspecialisten
10;Zorg en welzijn beroepen;104;Sociaal werkers, groeps- en woonbegeleiders;1041;Sociaal werkers, groeps- en woonbegeleiders
10;Zorg en welzijn beroepen;105;Verzorgenden;1051;Verzorgenden
11;Dienstverlenende beroepen;111;Medewerkers persoonlijke dienstverlening;1111;Reisbegeleiders
11;Dienstverlenende beroepen;111;Medewerkers persoonlijke dienstverlening;1112;Koks
11;Dienstverlenende beroepen;111;Medewerkers persoonlijke dienstverlening;1113;Kelners en barpersoneel
11;Dienstverlenende beroepen;111;Medewerkers persoonlijke dienstverlening;1114;Kappers en schoonheidsspecialisten
11;Dienstverlenende beroepen;111;Medewerkers persoonlijke dienstverlening;1115;ConciÃ«rges en teamleiders schoonmaak
11;Dienstverlenende beroepen;111;Medewerkers persoonlijke dienstverlening;1116;Verleners van overige persoonlijke diensten
11;Dienstverlenende beroepen;112;Schoonmakers en keukenhulpen;1121;Schoonmakers
11;Dienstverlenende beroepen;112;Schoonmakers en keukenhulpen;1122;Keukenhulpen
12;Transport en logistiek beroepen;121;Bestuurders voertuigen en bedieners mobiele machines;1211;Dekofficieren en piloten
12;Transport en logistiek beroepen;121;Bestuurders voertuigen en bedieners mobiele machines;1212;Chauffeurs auto's, taxi's en bestelwagens
12;Transport en logistiek beroepen;121;Bestuurders voertuigen en bedieners mobiele machines;1213;Buschauffeurs en trambestuurders
12;Transport en logistiek beroepen;121;Bestuurders voertuigen en bedieners mobiele machines;1214;Vrachtwagenchauffeurs
12;Transport en logistiek beroepen;121;Bestuurders voertuigen en bedieners mobiele machines;1215;Bedieners mobiele machines
12;Transport en logistiek beroepen;122;Hulpkrachten transport en logistiek;1221;Laders, lossers en vakkenvullers
12;Transport en logistiek beroepen;122;Hulpkrachten transport en logistiek;1222;Vuilnisophalers en dagbladenbezorgers
13;Overig;131;Overig;1311;Overig
